respond,gift,resplast,weekslast,propresp,mailsyear,giftlast,avggift,lgift,lavggift
0,0,0,143,.3,2.5,10,10,,2.302585
0,0,0,65.42857,.3,2.5,10,10,,2.302585
0,0,1,13.14286,.3,2.5,10,10,,2.302585
0,0,0,120.1429,.3,2.5,10,10,,2.302585
1,10,0,103.8571,.2,2.5,10,10,2.302585,2.302585
0,0,0,129.1429,.3,2.5,10,10,,2.302585
0,0,0,143,.3,2.5,10,10,,2.302585
0,0,0,103.8571,.5,2.5,5,6,,1.791759
0,0,1,13.14286,.3,2.5,10,10,,2.302585
1,5,0,51.28571,.5,2.5,5,5,1.609438,1.609438
0,0,0,103.8571,.3,2.5,10,10,,2.302585
0,0,0,103.8571,.3,2.5,10,10,,2.302585
0,0,0,26.14286,.222222,2.25,10,10,,2.302585
1,10,0,51.28571,.222222,2.25,10,10,2.302585,2.302585
0,0,0,26.14286,.333333,2.25,10,10,,2.302585
0,0,0,158,.222222,2.25,5,7.5,,2.014903
0,0,0,26.14286,.3,2.5,10,10,,2.302585
0,0,0,103.8571,.3,2.5,10,10,,2.302585
0,0,0,103.8571,.4,2.5,10,8.75,,2.169054
1,2,0,26.14286,.666667,2.25,5,5,.6931472,1.609438
1,3,1,13.14286,1,2.25,3,3,1.098612,1.098612
0,0,0,103.8571,.333333,2.25,10,10,,2.302585
0,0,1,13.14286,.222222,2.25,10,17.5,,2.862201
0,0,0,77.14286,.222222,2.25,10,17.5,,2.862201
0,0,1,13.14286,.555556,2.25,5,5,,1.609438
1,5,1,13.14286,.666667,2.25,5,5,1.609438,1.609438
0,0,1,13.14286,.333333,2.25,10,11.66667,,2.456736
1,10,0,129.1429,.222222,2.25,10,10,2.302585,2.302585
0,0,0,51.28571,.5,2.5,10,6.800003,,1.916923
0,0,0,65.42857,.2,2.5,15,15,,2.70805
0,0,0,26.14286,.6,2.5,7,5.333333,,1.673976
0,0,0,103.8571,.222222,2.25,15,15,,2.70805
0,0,0,120.1429,.222222,2.25,10,15,,2.70805
0,0,0,103.8571,.3,2.5,10,10,,2.302585
0,0,0,143,.2,2.5,15,15,,2.70805
0,0,0,26.14286,.666667,2.25,5,5,,1.609438
0,0,0,65.42857,.3,2.5,10,10,,2.302585
0,0,0,103.8571,.4,2.5,5,5,,1.609438
0,0,0,26.14286,.333333,2.25,10,8.333333,,2.120264
0,0,0,103.8571,.2,2.5,10,10,,2.302585
0,0,0,129.1429,.1,2.5,25,25,,3.218876
0,0,0,103.8571,.2,2.5,15,12.5,,2.525729
