year,uclms,ez,d81,d82,d83,d84,d85,d86,d87,d88,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,luclms,guclms,cez,guclms_1,guclms_2,t,ezt,city
1980,166746,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02423,,,,,1,0,1
1981,83561,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33333,-.6908951,0,,,2,0,1
1982,158146,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97127,.6379423,0,-.6908951,,3,0,1
1983,83572,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33346,-.6378107,0,.6379423,-.6908951,4,0,1
1984,45949,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.73529,-.598176,1,-.6378107,.6379423,5,5,1
1985,48848,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.79647,.0611811,0,-.598176,-.6378107,6,6,1
1986,46570,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74871,-.0477571,0,.0611811,-.598176,7,7,1
1987,47205,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76225,.0135431,0,-.0477571,.0611811,8,8,1
1988,37953,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5441,-.2181511,0,.0135431,-.0477571,9,9,1
1980,115279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65511,,,,,1,0,2
1981,78278,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26802,-.3870888,0,,,2,0,2
1982,126389,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74712,.4790983,0,-.3870888,,3,0,2
1983,79666,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2856,-.4615221,0,.4790983,-.3870888,4,0,2
1984,41376,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63046,-.6551418,0,-.4615221,.4790983,5,0,2
1985,53905,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89498,.2645226,0,-.6551418,-.4615221,6,0,2
1986,42037,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64631,-.2486734,0,.2645226,-.6551418,7,0,2
1987,44151,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69537,.0490656,0,-.2486734,.2645226,8,0,2
1988,27088,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.20685,-.4885244,0,.0490656,-.2486734,9,0,2
1980,61046,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01938,,,,,1,0,3
1981,60959,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01796,-.0014267,0,,,2,0,3
1982,90064,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.40828,.3903189,0,-.0014267,,3,0,3
1983,61609,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02856,-.3797121,0,.3903189,-.0014267,4,0,3
1984,41869,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6423,-.3862629,0,-.3797121,.3903189,5,0,3
1985,49353,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.80675,.1644535,0,-.3862629,-.3797121,6,0,3
1986,38632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.56184,-.2449179,0,.1644535,-.3862629,7,0,3
1987,37350,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52809,-.0337477,0,-.2449179,.1644535,8,0,3
1988,31182,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3476,-.1804924,0,-.0337477,-.2449179,9,0,3
1980,91152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.42028,,,,,1,0,4
1981,47337,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76505,-.6552362,0,,,2,0,4
1982,102228,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53496,.7699137,0,-.6552362,,3,0,4
