term,sat,tothrs,cumgpa,major,season,frstsem,crsgpa,crspop,verbmath,trmgpa,hssize,race,hsrank,sport,id,spring,female,black,white,ctrmgpa,ctothrs,ccrsgpa,ccrspop,cseason,hsperc
8808,920,31,2.25,505,0,0,2.6464,1006.5,.48387,1.5,10,1,4,"tennis",22,0,1,0,0,,,,,,40
8901,920,43,2.04,505,1,0,2.5077,944.25,.48387,2.25,10,1,4,"tennis",22,1,1,0,0,.75,12,-.1387,-62.25,1,40
8808,780,28,2.03,601,0,0,2.8679,920,.81395,2.2,123,6,102,"baseball",35,0,0,0,1,,,,,,82.92683
8901,780,43,2.09,531,1,0,2.8839,846.75,.81395,1.6,123,6,102,"baseball",35,1,0,0,1,-.6,15,.016,-73.25,1,82.92683
8808,810,0,0,601,0,1,2.7634,1098.17,.88372,1.6,119,6,42,"baseball",36,0,0,0,1,,,,,,35.29412
8901,810,14,1.78,601,1,0,2.56,1170.5,.88372,1.29,119,6,42,"baseball",36,1,0,0,1,-.3100001,14,-.2034001,72.32996,1,35.29412
8808,1080,0,0,402,1,1,2.5149,1516,.8,2,318,6,31,"soccer",156,0,0,0,1,,,,,,9.748427
8901,1080,17,2,402,0,0,2.4764,1195.8,.8,2.73,318,6,31,"soccer",156,1,0,0,1,.73,17,-.0385001,-320.2,-1,9.748427
8808,960,91,2.35,531,1,0,2.8535,363.6,1,2.8,383,6,66,"wrestlin",246,0,0,0,1,,,,,,17.23238
8901,960,106,2.41,531,0,0,2.7414,270.8,1,2.6,383,6,66,"wrestlin",246,1,0,0,1,-.2,15,-.1120999,-92.80002,-1,17.23238
8808,790,0,0,350,1,1,2.4137,1398,1.13514,1.29,44,2,27,"soccer",264,0,0,1,0,,,,,,61.36364
8901,790,12,1.16,350,0,0,2.5918,736.83,1.13514,.25,44,2,27,"soccer",264,1,0,1,0,-1.04,12,.1780999,-661.17,-1,61.36364
8808,820,25,2.12,331,1,0,2.6297,1284.6,.78261,1.5,344,2,36,"bball",326,0,1,1,0,,,,,,10.46512
8901,820,41,1.87,331,1,0,2.9289,504,.78261,2,344,2,36,"bball",326,1,1,1,0,.5,16,.2992001,-780.6,0,10.46512
8808,820,30,1.93,531,1,0,2.6114,1009,.90698,2.5,228,6,155,"soccer",410,0,0,0,1,,,,,,67.98245
8901,820,42,2.09,531,0,0,2.7092,686,.90698,1.6,228,6,155,"soccer",410,1,0,0,1,-.9,12,.0978,-323,-1,67.98245
8808,1040,0,0,531,1,1,2.3983,1261.17,.92593,2.18,91,6,8,"swim",412,0,0,0,1,,,,,,8.791209
8901,1040,17,2.17,531,1,0,2.5643,1147.67,.92593,2.13,91,6,8,"swim",412,1,0,0,1,-.05,17,.1660001,-113.5,0,8.791209
8808,730,34,1.97,531,1,0,2.7986,1126,.78049,1.75,482,2,273,"football",428,0,0,1,0,,,,,,56.639
8901,730,50,1.9,531,0,0,2.8696,1140.5,.78049,2.5,482,2,273,"football",428,1,0,1,0,.75,16,.0710001,14.5,-1,56.639
8808,780,59,2.38,520,1,0,2.8955,972,.69565,2.5,78,6,17,"football",452,0,0,0,1,,,,,,21.79487
8901,780,71,2.4,520,0,0,2.7555,754.67,.69565,2.33,78,6,17,"football",452,1,0,0,1,-.1700001,12,-.1399999,-217.33,-1,21.79487
8808,830,62,2.01,538,1,0,2.942,920.25,1.02439,1.75,196,2,54,"bball",477,0,0,1,0,,,,,,27.55102
8901,830,74,1.97,538,1,0,2.6398,380,1.02439,1.4,196,2,54,"bball",477,1,0,1,0,-.35,12,-.3021998,-540.25,0,27.55102
8808,710,120,2.02,675,1,0,2.6198,305.75,1.08824,.5,300,2,226,"football",509,0,0,1,0,,,,,,75.33334
8901,710,132,1.88,675,0,0,3.0175,192,1.08824,1.08,300,2,226,"football",509,1,0,1,0,.58,12,.3976998,-113.75,-1,75.33334
8808,980,35,2.08,375,1,0,2.4058,982,.92157,1.75,152,2,45,"football",513,0,0,1,0,,,,,,29.60526
8901,980,47,2,375,0,0,2.8379,883,.92157,2.11,152,2,45,"football",513,1,0,1,0,.3599999,12,.4320998,-99,-1,29.60526
8808,740,93,2,538,1,0,2.425,483.75,.89744,1.25,312,2,161,"football",528,0,0,1,0,,,,,,51.60257
8901,740,105,1.91,538,0,0,2.8806,134,.89744,1.5,312,2,161,"football",528,1,0,1,0,.25,12,.4556,-349.75,-1,51.60257
8808,1180,93,3.03,517,1,0,2.9097,294.5,.87302,2.75,637,6,255,"swim",552,0,0,0,1,,,,,,40.0314
8901,1180,105,3,517,1,0,2.5798,188,.87302,3,637,6,255,"swim",552,1,0,0,1,.25,12,-.3299,-106.5,0,40.0314
8808,700,26,2.34,319,1,0,3.1249,843,1,2.5,32,6,22,"bball",628,0,0,0,1,,,,,,68.75
8901,700,38,2.39,319,1,0,2.9418,805,1,1.6,32,6,22,"bball",628,1,0,0,1,-.9,12,-.1831,-38,0,68.75
8808,520,72,1.58,960,1,0,2.8346,194.75,1,2.25,462,6,358,"football",648,0,0,0,1,,,,,,77.48917
8901,520,84,1.67,960,0,0,3.2181,502.8,1,2,462,6,358,"football",648,1,0,0,1,-.25,12,.3835001,308.05,-1,77.48917
8808,720,39,1.76,505,1,0,2.5976,1339.75,.84615,1.25,283,2,76,"football",657,0,0,1,0,,,,,,26.85512
8901,720,51,1.64,531,0,0,2.8963,1350.2,.84615,1.6,283,2,76,"football",657,1,0,1,0,.35,12,.2987001,10.44995,-1,26.85512
