kids,morekids,boys2,girls2,boy1st,boy2nd,samesex,multi2nd,age,agefstm,black,hispan,worked,weeks,hours,labinc,faminc,nonmomi,educ,agesq
2,0,0,0,1,0,0,0,35,27,1,0,0,0,0,0,44.45,44.45,14,1225
3,1,0,0,0,1,0,0,32,20,1,0,1,40,40,14.7047,38.0475,23.3428,12,1024
2,0,1,0,1,1,1,0,30,19,1,0,1,52,35,20.16255,20.59289,.43033,12,900
2,0,0,0,1,0,0,0,33,23,1,0,1,50,40,21.00222,83.98788,62.98569,14,1089
2,0,0,1,0,0,1,0,31,26,1,0,1,26,48,21.86289,88.8265,66.96363,12,961
2,0,0,0,1,0,0,0,35,24,1,0,1,52,40,40.39859,58.96578,18.56719,16,1225
3,1,0,0,1,0,0,0,28,18,1,0,1,52,40,29.50388,73.84888,44.34503,16,784
3,1,1,0,1,1,1,0,30,19,1,0,1,52,40,13.65512,61.94659,48.29147,12,900
2,0,0,0,0,1,0,0,23,19,1,0,1,52,35,12.60553,29.40941,16.80388,12,529
2,0,0,0,1,0,0,0,32,22,1,0,1,52,40,27.29975,84.41825,57.1185,12,1024
2,0,0,0,1,0,0,0,31,18,1,0,0,0,0,0,36.70403,36.70403,13,961
2,0,0,0,1,0,0,0,28,19,0,1,1,10,40,1.79479,6.78033,4.98554,6,784
3,1,0,1,0,0,1,0,33,26,1,0,1,48,38,12.60553,67.1945,54.589,14,1089
2,0,0,1,0,0,1,0,29,21,1,0,1,52,40,29.39892,60.897,31.49809,13,841
2,0,1,0,1,1,1,0,21,17,1,0,1,52,40,13.65512,40.74494,27.08983,12,441
3,1,0,0,1,0,0,1,28,17,1,0,0,0,0,0,31.49809,31.49809,12,784
3,1,0,1,0,0,1,0,35,17,1,0,1,47,8,18.90305,44.11413,25.21106,12,1225
3,1,0,0,1,0,0,0,25,18,1,0,1,50,40,18.90305,22.90197,3.99892,9,625
4,1,0,0,1,0,0,0,33,22,1,0,1,17,40,7.44157,52.60528,45.16372,20,1089
2,0,1,0,1,1,1,0,29,20,1,0,1,52,40,37.79559,73.49207,35.69644,13,841
3,1,0,0,0,1,0,0,32,20,1,0,1,52,40,17.32867,34.55238,17.22372,12,1024
3,1,0,0,0,1,0,0,28,19,0,1,0,0,0,0,37.79559,37.79559,11,784
2,0,1,0,1,1,1,0,22,19,1,0,1,24,40,8.40719,16.81438,8.40719,12,484
2,0,0,0,1,0,0,0,25,18,1,0,1,52,38,14.7047,31.50859,16.80388,12,625
2,0,1,0,1,1,1,0,27,20,1,0,0,0,0,0,20.75033,20.75033,12,729
3,1,0,1,0,0,1,0,33,25,1,0,1,40,40,14.7047,41.16478,26.46008,16,1089
3,1,1,0,1,1,1,0,22,15,1,0,1,36,40,3.99892,22.90197,18.90305,10,484
2,0,0,0,1,0,0,0,27,19,1,0,1,38,40,14.36884,52.51081,38.14197,13,729
2,0,0,0,1,0,0,0,30,19,1,0,1,52,40,21.00222,39.48544,18.48322,12,900
2,0,0,0,1,0,0,0,22,19,1,0,0,0,0,0,46.19231,46.19231,16,484
2,0,0,1,0,0,1,0,29,20,1,0,1,52,35,13.23529,35.09816,21.86289,10,841
4,1,0,0,1,0,0,0,33,26,1,0,1,36,40,35.69644,76.87169,41.17528,18,1089
2,0,1,0,1,1,1,0,29,19,1,0,1,52,40,6.30802,31.51908,25.21106,12,841
4,1,1,0,1,1,1,0,26,18,1,0,1,4,40,10.50636,67.205,56.69866,12,676
2,0,0,1,0,0,1,0,33,23,1,0,0,0,0,0,37.84809,37.84809,12,1089
2,0,0,0,0,1,0,0,31,25,1,0,1,52,40,38.84519,103.9301,65.08488,16,961
