id,period,lfp,black,educ,age,agesq,kids,hinc,per1,per2,per3,per4,per5,lhinc
1,1,0,0,12,47,2209,1,4933.741,1,0,0,0,0,8.503853
1,2,1,0,12,47,2209,1,5582.057,0,1,0,0,0,8.627313
1,3,0,0,12,47,2209,1,5723.005,0,0,1,0,0,8.652249
1,4,0,0,12,47,2209,1,6678.281,0,0,0,1,0,8.806616
1,5,1,0,12,47,2209,1,8496.933,0,0,0,0,1,9.047461
2,1,0,0,12,26,676,2,2760.745,1,0,0,0,0,7.923256
2,2,0,0,12,26,676,2,2900.658,0,1,0,0,0,7.972693
2,3,0,0,12,26,676,2,2826.949,0,0,1,0,0,7.946953
2,4,0,0,12,26,676,2,2868.139,0,0,0,1,0,7.961419
2,5,0,0,12,26,676,2,3040.071,0,0,0,0,1,8.019636
3,1,0,0,15,34,1156,3,1021.094,1,0,0,0,0,6.928629
3,2,0,0,15,34,1156,3,1006.159,0,1,0,0,0,6.913895
3,3,1,0,15,34,1156,3,3080.75,0,0,1,0,0,8.032928
3,4,1,0,15,34,1156,3,1696.773,0,0,0,1,0,7.436483
3,5,1,0,15,34,1156,3,1705.827,0,0,0,0,1,7.441805
4,1,1,0,12,52,2704,0,1352.881,1,0,0,0,0,7.209992
4,2,1,0,12,52,2704,0,1221.339,0,1,0,0,0,7.107703
4,3,1,0,12,52,2704,0,1482.585,0,0,1,0,0,7.301542
4,4,1,0,12,52,2704,0,1196.794,0,0,0,1,0,7.087401
4,5,1,0,12,52,2704,0,1226.388,0,0,0,0,1,7.111829
5,1,1,0,14,44,1936,0,12919.38,1,0,0,0,0,9.466484
5,2,1,0,14,44,1936,0,9125.855,0,1,0,0,0,9.118867
5,3,1,0,14,44,1936,0,8194.208,0,0,1,0,0,9.011183
5,4,1,0,14,44,1936,0,10531.39,0,0,0,1,0,9.262115
5,5,1,0,14,44,1936,0,7963.091,0,0,0,0,1,8.982573
6,1,1,0,10,51,2601,1,1206.618,1,0,0,0,0,7.095576
6,2,1,0,10,51,2601,1,1568.698,0,1,0,0,0,7.358001
6,3,1,0,10,51,2601,1,1328.49,0,0,1,0,0,7.191798
6,4,1,0,10,51,2601,1,1281.865,0,0,0,1,0,7.156072
6,5,1,0,10,51,2601,1,1300.302,0,0,0,0,1,7.170352
7,1,1,1,12,37,1369,2,2308.281,1,0,0,0,0,7.744258
7,2,1,1,12,37,1369,2,2529.024,0,1,0,0,0,7.835589
7,3,1,1,12,37,1369,2,2462.321,0,0,1,0,0,7.80886
7,4,1,1,12,37,1369,2,2427.563,0,0,0,1,0,7.794643
7,5,1,1,12,37,1369,2,2409.66,0,0,0,0,1,7.787241
8,1,1,0,18,29,841,1,3603.628,1,0,0,0,0,8.189696
8,2,1,0,18,29,841,1,1509.604,0,1,0,0,0,7.319603
8,3,1,0,18,29,841,1,1489.668,0,0,1,0,0,7.306308
8,4,1,0,18,29,841,1,1413.339,0,0,0,1,0,7.25371
8,5,1,0,18,29,841,1,1215.147,0,0,0,0,1,7.10262
9,1,1,0,12,39,1521,2,1122.172,1,0,0,0,0,7.023022
9,2,1,0,12,39,1521,2,1448.325,0,1,0,0,0,7.278163
9,3,1,0,12,39,1521,2,1318.722,0,0,1,0,0,7.184419
9,4,1,0,12,39,1521,2,1069.804,0,0,0,1,0,6.975231
9,5,1,0,12,39,1521,2,1157.06,0,0,0,0,1,7.053638
10,1,1,0,14,34,1156,2,2240.571,1,0,0,0,0,7.714486
10,2,1,0,14,34,1156,2,2039.406,0,1,0,0,0,7.620414
10,3,1,0,14,34,1156,2,2068.35,0,0,1,0,0,7.634506
10,4,1,0,14,34,1156,2,2294.047,0,0,0,1,0,7.738073
10,5,1,0,14,34,1156,2,2324.118,0,0,0,0,1,7.751096
11,1,0,0,16,26,676,1,2555.288,1,0,0,0,0,7.84592
11,2,0,0,16,26,676,1,2620.037,0,1,0,0,0,7.870944
11,3,0,0,16,26,676,1,2607.146,0,0,1,0,0,7.866012
11,4,0,0,16,26,676,2,2634.845,0,0,0,1,0,7.87658
11,5,0,0,16,26,676,2,3159.865,0,0,0,0,1,8.058285
12,1,1,0,16,31,961,2,2335.742,1,0,0,0,0,7.756085
12,2,1,0,16,31,961,2,2505.752,0,1,0,0,0,7.826344
12,3,0,0,16,31,961,2,2686.285,0,0,1,0,0,7.895915
12,4,0,0,16,31,961,2,3099.041,0,0,0,1,0,8.038848
12,5,0,0,16,31,961,2,3358.665,0,0,0,0,1,8.119299
13,1,0,0,16,41,1681,3,3778.032,1,0,0,0,0,8.236959
13,2,0,0,16,41,1681,3,3975.625,0,1,0,0,0,8.287937
13,3,0,0,16,41,1681,3,4096.828,0,0,1,0,0,8.317968
13,4,0,0,16,41,1681,3,4188.781,0,0,0,1,0,8.340165
13,5,0,0,16,41,1681,3,4157.092,0,0,0,0,1,8.332571
14,1,1,0,11,37,1369,2,1751.472,1,0,0,0,0,7.468212
14,2,1,0,11,37,1369,2,1846.946,0,1,0,0,0,7.521289
14,3,1,0,11,37,1369,2,4373.079,0,0,1,0,0,8.383223
14,4,1,0,11,37,1369,2,2544.085,0,0,0,1,0,7.841527
14,5,1,0,11,37,1369,2,2775.927,0,0,0,0,1,7.92874
15,1,0,0,7,53,2809,0,1896.426,1,0,0,0,0,7.547726
15,2,0,0,7,53,2809,0,2478.168,0,1,0,0,0,7.815275
15,3,0,0,7,53,2809,0,2773.091,0,0,1,0,0,7.927718
15,4,0,0,7,53,2809,0,1800.76,0,0,0,1,0,7.495964
15,5,0,0,7,53,2809,0,1378.356,0,0,0,0,1,7.228647
16,1,1,0,16,23,529,0,1492.84,1,0,0,0,0,7.308435
16,2,1,0,16,23,529,0,2287.754,0,1,0,0,0,7.735326
16,3,1,0,16,23,529,0,1541.477,0,0,1,0,0,7.340497
16,4,1,0,16,23,529,0,1526.611,0,0,0,1,0,7.330806
16,5,0,0,16,23,529,1,1602.037,0,0,0,0,1,7.379031
17,1,1,0,12,62,3844,0,3566.427,1,0,0,0,0,8.179319
17,2,1,0,12,62,3844,0,3758.002,0,1,0,0,0,8.231643
17,3,1,0,12,62,3844,0,3458.41,0,0,1,0,0,8.148564
17,4,1,0,12,62,3844,0,3625.762,0,0,0,1,0,8.19582
17,5,1,0,12,62,3844,0,3390.991,0,0,0,0,1,8.128878
18,1,1,0,15,50,2500,0,1586.854,1,0,0,0,0,7.369509
18,2,1,0,15,50,2500,0,1984.336,0,1,0,0,0,7.59304
18,3,1,0,15,50,2500,0,1841.815,0,0,1,0,0,7.518507
18,4,1,0,15,50,2500,0,2070.706,0,0,0,1,0,7.635645
18,5,1,0,15,50,2500,0,1975.809,0,0,0,0,1,7.588733
19,1,1,0,16,34,1156,2,4605.428,1,0,0,0,0,8.434991
19,2,1,0,16,34,1156,2,4551.656,0,1,0,0,0,8.423246
19,3,1,0,16,34,1156,2,4688.789,0,0,1,0,0,8.452929
19,4,1,0,16,34,1156,2,4640.239,0,0,0,1,0,8.442521
19,5,1,0,16,34,1156,2,4592.678,0,0,0,0,1,8.432219
20,1,1,0,10,56,3136,0,1620.315,1,0,0,0,0,7.390376
20,2,1,0,10,56,3136,0,1832.383,0,1,0,0,0,7.513372
20,3,1,0,10,56,3136,0,2879.944,0,0,1,0,0,7.965526
20,4,1,0,10,56,3136,0,5241.533,0,0,0,1,0,8.564369
20,5,1,0,10,56,3136,0,3810.49,0,0,0,0,1,8.245513
21,1,0,0,12,46,2116,0,1873.671,1,0,0,0,0,7.535655
21,2,1,0,12,46,2116,0,2886.626,0,1,0,0,0,7.967844
21,3,1,0,12,46,2116,0,4620.901,0,0,1,0,0,8.438345
21,4,1,0,12,46,2116,0,2646.917,0,0,0,1,0,7.881151
