distid,schid,lunch,enrol,exppp,math4,year,cpi,rexppp,lrexpp,lenrol,avgrexp,lavgrexp,tobs,lavgrexpb,lunchb,lenrolb,y94,y95,y96,y97,y98,y95b,y96b,y97b,y98b
34010,1,35,248,2870,44.7,1994,1.482,3108.198,8.041799,5.513429,3692.398,7.988149,5,8.2276023,42.254,5.5612873,1,0,0,0,0,.2,.2,.2,.2
34010,1,36.59,244,4176,86.5,1995,1.524,4397.953,8.388894,5.497168,3692.398,8.230331,5,8.2276023,42.254,5.5612873,0,1,0,0,0,.2,.2,.2,.2
34010,1,40.55,247,4333,84.3,1996,1.569,4432.419,8.396701,5.509388,3692.398,8.392805,5,8.2276023,42.254,5.5612873,0,0,1,0,0,.2,.2,.2,.2
34010,1,49.49,291,3666,83.8,1997,1.605,3666,8.206857,5.673323,3692.398,8.306277,5,8.2276023,42.254,5.5612873,0,0,0,1,0,.2,.2,.2,.2
34010,1,49.64,274,3825,83,1998,1.63,3766.334,8.233857,5.613128,3692.398,8.220448,5,8.2276023,42.254,5.5612873,0,0,0,0,1,.2,.2,.2,.2
25150,2,33.2,486,2775,74.2,1994,1.482,3005.314,8.008138,6.186209,3540.105,7.956621,5,8.1684077,29.928,6.1760219,1,0,0,0,0,.2,.2,.2,.2
25150,2,28.54,489,3250,82.7,1995,1.524,3422.736,8.138196,6.192362,3540.105,8.075279,5,8.1684077,29.928,6.1760219,0,1,0,0,0,.2,.2,.2,.2
25150,2,28.26,503,3705,74,1996,1.569,3790.01,8.240124,6.22059,3540.105,8.190458,5,8.1684077,29.928,6.1760219,0,0,1,0,0,.2,.2,.2,.2
25150,2,28.89,479,4150,60.4,1997,1.605,4150,8.330864,6.1717,3540.105,8.286523,5,8.1684077,29.928,6.1760219,0,0,0,1,0,.2,.2,.2,.2
25150,2,30.75,450,4234,86,1998,1.63,4169.062,8.335446,6.109248,3540.105,8.333158,5,8.1684077,29.928,6.1760219,0,0,0,0,1,.2,.2,.2,.2
82010,5,91.96,701,4170,37,1995,1.524,4391.634,8.387457,6.552508,4311.366,8.256134,4,8.3780308,88.4025,6.6895655,0,1,0,0,0,.25,.25,.25,.25
82010,5,90.79,872,4399,10.3,1996,1.569,4499.934,8.411818,6.77079,4311.366,8.399712,4,8.3780308,88.4025,6.6895655,0,0,1,0,0,.25,.25,.25,.25
