marr,wage,exper,age,coll,games,minutes,guard,forward,center,points,rebounds,assists,draft,allstar,avgmin,lwage,black,children,expersq,agesq,marrblck
1.00,1.00,4.00,27.00,4.00,77.00,2867.00,1.00,0.00,0.00,15.50,3.90,4.50,19.00,0.00,37.23,2.31,1.00,0.00,16.00,729,1
1.00,2.03,5.00,28.00,4.00,78.00,2789.00,1.00,0.00,0.00,13.30,2.50,8.80,28.00,0.00,35.76,3.01,1.00,1.00,25.00,784,1
0.00,0.65,1.00,25.00,4.00,74.00,1149.00,0.00,0.00,1.00,5.50,3.30,0.20,19.00,0.00,15.53,1.87,1.00,0.00,1.00,625,0
1.00,1.05,5.00,29.00,4.00,82.00,2322.00,1.00,0.00,0.00,11.60,4.00,,21.00,0.00,28.32,2.35,1.00,1.00,25.00,841,1
0.00,2.03,5.00,28.00,4.00,47.00,1178.00,0.00,1.00,0.00,7.30,5.10,1.50,1.00,0.00,25.06,3.01,1.00,0.00,25.00,784,0
0.00,0.75,3.00,24.00,4.00,82.00,2096.00,1.00,0.00,0.00,10.80,4.30,2.60,24.00,0.00,25.56,2.02,1.00,0.00,9.00,576,0
0.00,2.01,9.00,31.00,4.00,82.00,1971.00,0.00,1.00,0.00,11.30,4.90,1.50,4.00,0.00,24.04,3.00,1.00,0.00,81.00,961,0
1.00,1.06,1.00,28.00,0.00,80.00,2303.00,0.00,1.00,0.00,15.10,7.20,1.40,40.00,0.00,28.79,2.37,0.00,0.00,1.00,784,0
0.00,0.42,3.00,27.00,3.00,67.00,1131.00,0.00,1.00,0.00,6.60,4.20,0.70,47.00,0.00,16.88,1.44,1.00,0.00,9.00,729,0
1.00,0.15,1.00,25.00,4.00,60.00,542.00,1.00,0.00,0.00,3.10,0.70,2.00,0.00,0.00,9.03,0.41,1.00,0.00,1.00,625,1
1.00,3.05,12.00,35.00,3.00,74.00,2700.00,0.00,1.00,0.00,26.00,6.50,2.30,3.00,1.00,36.49,3.42,1.00,1.00,144.00,1225,1
1.00,1.03,9.00,31.00,4.00,70.00,2337.00,1.00,0.00,0.00,12.10,2.60,6.90,66.00,0.00,33.39,2.33,1.00,1.00,81.00,961,1
0.00,0.18,2.00,25.00,4.00,74.00,983.00,1.00,0.00,0.00,3.40,1.20,2.20,35.00,0.00,13.28,0.60,0.00,0.00,4.00,625,0
1.00,0.90,7.00,29.00,4.00,77.00,2746.00,1.00,0.00,0.00,10.80,4.10,10.10,12.00,0.00,35.66,2.20,1.00,1.00,49.00,841,1
0.00,0.85,1.00,23.00,4.00,51.00,767.00,0.00,1.00,0.00,4.80,2.60,1.20,20.00,0.00,15.04,2.14,1.00,0.00,1.00,529,0
1.00,1.00,8.00,30.00,4.00,82.00,2173.00,1.00,0.00,0.00,16.30,3.20,2.70,15.00,0.00,26.50,2.31,1.00,1.00,64.00,900,1
1.00,,7.00,30.00,4.00,77.00,1644.00,0.00,1.00,0.00,7.70,4.60,1.20,55.00,0.00,21.35,,1.00,1.00,49.00,900,1
1.00,2.04,6.00,28.00,4.00,82.00,2648.00,1.00,0.00,0.00,14.40,4.60,2.60,6.00,0.00,32.29,3.02,1.00,1.00,36.00,784,1
1.00,3.13,3.00,25.00,4.00,51.00,1757.00,0.00,1.00,0.00,16.40,8.80,3.60,1.00,1.00,34.45,3.44,1.00,0.00,9.00,625,1
0.00,3.12,2.00,24.00,4.00,60.00,2018.00,0.00,0.00,1.00,21.50,10.20,1.40,2.00,1.00,33.63,3.44,1.00,0.00,4.00,576,0
0.00,4.00,18.00,41.00,4.00,74.00,1987.00,0.00,0.00,1.00,11.70,7.30,1.10,8.00,0.00,26.85,3.69,1.00,0.00,324.00,1681,0
0.00,0.57,8.00,30.00,4.00,50.00,1005.00,1.00,0.00,0.00,6.20,2.70,2.10,44.00,0.00,20.10,1.74,1.00,0.00,64.00,900,0
0.00,0.62,6.00,27.00,4.00,82.00,2770.00,1.00,0.00,0.00,14.80,2.10,4.00,18.00,1.00,33.78,1.82,1.00,0.00,36.00,729,0
0.00,,1.00,25.00,4.00,67.00,690.00,0.00,1.00,0.00,3.00,2.90,0.80,25.00,0.00,10.30,,1.00,0.00,1.00,625,0
0.00,0.15,3.00,25.00,4.00,36.00,419.00,1.00,0.00,0.00,3.60,1.30,1.00,0.00,0.00,11.64,0.41,1.00,0.00,9.00,625,0
1.00,4.00,8.00,31.00,0.00,75.00,2856.00,1.00,0.00,0.00,20.10,6.10,4.60,8.00,0.00,38.08,3.69,1.00,1.00,64.00,961,1
1.00,0.15,7.00,29.00,4.00,82.00,2036.00,1.00,0.00,0.00,,1.60,2.60,50.00,0.00,24.83,0.41,0.00,1.00,49.00,841,0
0.00,0.15,8.00,30.00,4.00,34.00,682.00,0.00,1.00,0.00,5.10,3.60,1.00,28.00,0.00,20.06,0.41,0.00,0.00,64.00,900,0
1.00,1.01,1.00,26.00,0.00,75.00,1808.00,0.00,1.00,0.00,10.90,4.00,3.40,29.00,0.00,24.11,2.31,0.00,1.00,1.00,676,0
