id,year,wage,educ,exper,manuf,black,lwage,y81,y82,y83,y84,y85,y86,y87,inlf,expersq,lwage_1,inlf_1,inlfp1
4,81,,9,0,0,1,,1,0,0,0,0,0,0,0,0,,,1
4,82,,9,0,0,1,,0,1,0,0,0,0,0,0,0,,1,0
4,83,,9,0,0,1,,0,0,1,0,0,0,0,0,0,,0,0
4,84,,9,0,0,1,,0,0,0,1,0,0,0,0,0,,0,0
4,85,,9,0,0,1,,0,0,0,0,1,0,0,0,0,,0,0
4,86,,9,0,0,1,,0,0,0,0,0,1,0,0,0,,0,0
4,87,6093.6,9,0,0,1,8.714994,0,0,0,0,0,0,1,1,0,,0,
6,81,,8,1,0,1,,1,0,0,0,0,0,0,0,1,,,0
6,82,10848.16,8,1,0,1,9.291751,0,1,0,0,0,0,0,1,1,9.847019,1,0
6,83,16684.02,8,2,0,1,9.722207,0,0,1,0,0,0,0,1,4,,0,1
6,84,18901.93,8,3,0,1,9.847019,0,0,0,1,0,0,0,1,9,9.722207,0,1
6,85,,8,4,0,1,,0,0,0,0,1,0,0,0,16,8.714994,0,0
6,86,,8,4,0,1,,0,0,0,0,0,1,0,0,16,,0,0
6,87,,8,4,0,1,,0,0,0,0,0,0,1,0,16,,0,
7,81,,10,1,0,1,,1,0,0,0,0,0,0,0,1,,,1
7,82,,10,1,0,1,,0,1,0,0,0,0,0,0,1,9.291751,0,0
7,83,,10,1,0,1,,0,0,1,0,0,0,0,0,1,,0,0
7,84,,10,1,0,1,,0,0,0,1,0,0,0,0,1,,0,0
7,85,13190.33,10,1,0,1,9.487239,0,0,0,0,1,0,0,1,1,9.715626,1,1
7,86,12844.86,10,2,1,1,9.460699,0,0,0,0,0,1,0,1,4,9.487239,1,1
7,87,16574.59,10,3,1,1,9.715626,0,0,0,0,0,0,1,1,9,,0,
8,81,15526.21,12,0,1,1,9.650285,1,0,0,0,0,0,0,1,0,,,1
