cusip,merger,employ,return,patents,patentsg,stckpr,rnd,rndeflt,rndstck,sales,sic,year,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,lrnd,lsales,lpat,rnd_1,rnd_2,rnd_3,rnd_4,rnd_5,lrnd_1,lrnd_2,lrnd_3,lrnd_4,lrnd_5,clpat,clrnd,clrnd_1,clrnd_2,clrnd_3,clrnd_4,clrnd_5,clsales,lrnd_6,lrnd_7,lrnd_8,lrnd_9
800,0,9.849,5.817664,22,24,47.625,2.562973,2.562973,16.15511,343.679,3740,72,1,0,0,0,0,0,0,0,0,0,1.270595,5.839708,3.135494,,,,,,,,,,,,,,,,,,,,,,
800,0,12.317,5.689478,34,32,57.87497,3.096045,2.909817,17.35593,436.146,3740,73,0,1,0,0,0,0,0,0,0,0,1.410022,6.077977,3.555348,2.562973,,,,,1.270595,,,,,.4198539,.1394265,,,,,,.2382693,,,,
800,0,12.200,4.419929,31,30,33,3.272318,2.796852,19.60889,535.0967,3740,74,0,0,1,0,0,0,0,0,0,0,1.452157,6.282447,3.465736,3.096045,2.562973,,,,1.410022,1.270595,,,,-.0896122,.0421348,.1394265,,,,,.2044702,,,,
800,0,11.843,5.278894,32,34,38.49997,3.23601,2.518295,21.9088,566.9644,3740,75,0,0,0,1,0,0,0,0,0,0,1.443622,6.340296,3.496508,3.272318,3.096045,2.562973,,,1.452157,1.410022,1.270595,,,.0307717,-.0085349,.0421348,.1394265,,,,.0578489,,,,
800,0,12.991,4.907936,40,28,35.12497,3.784838,2.780924,23.14388,631.1006,3740,76,0,0,0,0,1,0,0,0,0,0,1.565452,6.447465,3.713572,3.23601,3.272318,3.096045,2.562973,,1.443622,1.452157,1.410022,1.270595,,.2170644,.1218305,-.0085349,.0421348,.1394265,,,.1071692,,,,
800,0,13.233,4.801697,60,33,34.49997,3.860655,2.646095,25.15906,705.7036,3740,77,0,0,0,0,0,1,0,0,0,0,1.581173,6.559196,4.110874,3.784838,3.23601,3.272318,3.096045,2.562973,1.565452,1.443622,1.452157,1.410022,1.270595,.3973017,.0157211,.1218305,-.0085349,.0421348,.1394265,,.1117301,,,,
800,0,14.455,4.714161,57,53,30.74997,4.701397,2.98881,27.20734,819.0376,3740,78,0,0,0,0,0,0,1,0,0,0,1.740711,6.70813,4.060443,3.860655,3.784838,3.23601,3.272318,3.096045,1.581173,1.565452,1.443622,1.452157,1.410022,-.0504308,.159538,.0157211,.1218305,-.0085349,.0421348,.1394265,.1489344,1.270595,,,
800,0,14.182,4.731318,77,47,34.24997,5.038876,2.932989,30.39107,991.7051,3740,79,0,0,0,0,0,0,0,1,0,0,1.798218,6.899426,4.356709,4.701397,3.860655,3.784838,3.23601,3.272318,1.740711,1.581173,1.565452,1.443622,1.452157,.2962661,.0575066,.159538,.0157211,.1218305,-.0085349,.0421348,.1912961,1.410022,1.270595,,
800,0,12.928,4.224751,38,64,46,6.572727,3.514828,33.62595,1044.641,3740,80,0,0,0,0,0,0,0,0,1,0,2.024553,6.951428,3.663562,5.038876,4.701397,3.860655,3.784838,3.23601,1.798218,1.740711,1.581173,1.565452,1.443622,-.6931474,.2263355,.0575066,.159538,.0157211,.1218305,-.0085349,.0520024,1.452157,1.410022,1.270595,
800,0,12.248,4.999769,5,70,40.87497,8.231537,4.095291,37.75882,939.0947,3740,81,0,0,0,0,0,0,0,0,0,1,2.222625,6.844916,1.791759,6.572727,5.038876,4.701397,3.860655,3.784838,2.024553,1.798218,1.740711,1.581173,1.565452,-1.871802,.1980722,.2263355,.0575066,.159538,.0157211,.1218305,-.1065121,1.443622,1.452157,1.410022,1.270595
