cusip,year,ikb,ikn,qb,qn,d75,d76,d77,d78,d79,d80,d81,d82,d83,d84,d85,ikb_1,ikn_1,qb_1,qn_1,cikb,cikn,cqb,cqn,cikb_1,cqb_1,cikb_2
2824,75,.1124419,.1459734,1.531274,2.378865,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2824,76,.0987447,.1337122,2.594968,4.030999,0,1,0,0,0,0,0,0,0,0,0,.1124419,.1459734,1.531274,2.378865,-.0136972,-.0122612,1.063694,1.652134,,,
2824,77,.123085,.1427494,2.858316,4.353475,0,0,1,0,0,0,0,0,0,0,0,.0987447,.1337122,2.594968,4.030999,.0243403,.0090372,.2633479,.3224759,-.0136972,1.063694,
2824,78,.158949,.1613987,2.967849,4.496569,0,0,0,1,0,0,0,0,0,0,0,.123085,.1427494,2.858316,4.353475,.035864,.0186493,.1095331,.1430941,.0243403,.2633479,-.0136972
2824,79,.1469499,.1762532,2.939448,4.502361,0,0,0,0,1,0,0,0,0,0,0,.158949,.1613987,2.967849,4.496569,-.0119991,.0148545,-.0284007,.0057917,.035864,.1095331,.0243403
2824,80,.1960567,.2090668,3.137985,4.710496,0,0,0,0,0,1,0,0,0,0,0,.1469499,.1762532,2.939448,4.502361,.0491068,.0328136,.1985371,.2081351,-.0119991,-.0284007,.035864
2824,81,.1693932,.2106599,4.011714,6.021352,0,0,0,0,0,0,1,0,0,0,0,.1960567,.2090668,3.137985,4.710496,-.0266635,.0015931,.8737283,1.310856,.0491068,.1985371,-.0119991
2824,82,.1599449,.2070122,2.941987,4.160553,0,0,0,0,0,0,0,1,0,0,0,.1693932,.2106599,4.011714,6.021352,-.0094483,-.0036477,-1.069726,-1.860799,-.0266635,.8737283,.0491068
2824,83,.1753262,.2324516,3.865978,5.267363,0,0,0,0,0,0,0,0,1,0,0,.1599449,.2070122,2.941987,4.160553,.0153813,.0254395,.9239905,1.10681,-.0094483,-1.069726,-.0266635
2824,84,.172116,.2206887,4.000311,5.290109,0,0,0,0,0,0,0,0,0,1,0,.1753262,.2324516,3.865978,5.267363,-.0032102,-.011763,.1343336,.0227461,.0153813,.9239905,-.0094483
2824,85,.154479,.1775413,2.948758,3.760198,0,0,0,0,0,0,0,0,0,0,1,.172116,.2206887,4.000311,5.290109,-.017637,-.0431474,-1.051553,-1.529911,-.0032102,.1343336,.0153813
6284,75,-.0375438,.0077582,-.9788305,-1.444497,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
6284,76,.0234781,.0310891,-1.160604,-1.573889,0,1,0,0,0,0,0,0,0,0,0,-.0375438,.0077582,-.9788305,-1.444497,.0610219,.0233308,-.1817737,-.1293924,,,
6284,77,.0356985,.0209634,-1.257432,-1.700065,0,0,1,0,0,0,0,0,0,0,0,.0234781,.0310891,-1.160604,-1.573889,.0122204,-.0101257,-.0968277,-.1261762,.0610219,-.1817737,
6284,78,.1086037,.1020491,-1.347831,-1.872093,0,0,0,1,0,0,0,0,0,0,0,.0356985,.0209634,-1.257432,-1.700065,.0729052,.0810858,-.0903993,-.1720278,.0122204,-.0968277,.0610219
6284,79,.0916496,.125252,-1.244521,-1.760045,0,0,0,0,1,0,0,0,0,0,0,.1086037,.1020491,-1.347831,-1.872093,-.0169541,.0232029,.1033099,.1120481,.0729052,-.0903993,.0122204
6284,80,.0957587,.0765752,-1.251552,-1.685578,0,0,0,0,0,1,0,0,0,0,0,.0916496,.125252,-1.244521,-1.760045,.0041091,-.0486767,-.0070302,.0744673,-.0169541,.1033099,.0729052
6284,81,.1719346,.215999,-1.204395,-1.674631,0,0,0,0,0,0,1,0,0,0,0,.0957587,.0765752,-1.251552,-1.685578,.0761759,.1394237,.0471569,.0109468,.0041091,-.0070302,-.0169541
6284,82,-.0137815,.0297183,-1.186436,-1.542902,0,0,0,0,0,0,0,1,0,0,0,.1719346,.215999,-1.204395,-1.674631,-.1857161,-.1862806,.0179585,.1317296,.0761759,.0471569,.0041091
6284,83,.0511658,.0294259,-1.151733,-1.428517,0,0,0,0,0,0,0,0,1,0,0,-.0137815,.0297183,-1.186436,-1.542902,.0649473,-.0002924,.0347031,.1143842,-.1857161,.0179585,.0761759
6284,84,.257672,.2029546,-.7580267,-1.021717,0,0,0,0,0,0,0,0,0,1,0,.0511658,.0294259,-1.151733,-1.428517,.2065062,.1735288,.3937063,.4068003,.0649473,.0347031,-.1857161
6284,85,.0320481,.0389765,-.5843825,-.9382029,0,0,0,0,0,0,0,0,0,0,1,.257672,.2029546,-.7580267,-1.021717,-.2256239,-.1639782,.1736441,.0835142,.2065062,.3937063,.0649473
9158,75,.2624283,.2588696,1.588081,1.748642,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
9158,76,.2103818,.2302787,1.835544,2.037017,0,1,0,0,0,0,0,0,0,0,0,.2624283,.2588696,1.588081,1.748642,-.0520465,-.0285908,.2474631,.2883745,,,
9158,77,.1621619,.1815764,1.472674,1.598046,0,0,1,0,0,0,0,0,0,0,0,.2103818,.2302787,1.835544,2.037017,-.0482199,-.0487024,-.3628701,-.4389707,-.0520465,.2474631,
