x,z,w,y,x_5,zx_5,wx_5
0,0,0,1.089758,-5,0,0
.0050025,0,1,3.121942,-4.994998,0,-4.994998
.010005,0,0,1.11631,-4.989995,0,0
.0150075,0,0,.411725,-4.984993,0,0
.02001,0,0,.8312294,-4.97999,0,0
.0250125,0,0,.0175498,-4.974988,0,0
.030015,0,0,2.07049,-4.969985,0,0
.0350175,0,0,1.03131,-4.964983,0,0
.04002,0,0,1.634803,-4.95998,0,0
.0450225,0,0,2.171974,-4.954978,0,0
.050025,0,0,.6817017,-4.949975,0,0
.0550275,0,0,1.805987,-4.944973,0,0
.06003,0,0,1.5334,-4.93997,0,0
.0650325,0,0,1.36602,-4.934968,0,0
.070035,0,0,.8120857,-4.929965,0,0
.0750375,0,0,.5596593,-4.924963,0,0
.08004,0,1,2.760886,-4.91996,0,-4.91996
.0850425,0,0,.2808165,-4.914958,0,0
.090045,0,0,.3566604,-4.909955,0,0
.0950475,0,0,1.534406,-4.904953,0,0
.10005,0,0,1.04969,-4.89995,0,0
.1050525,0,0,1.344029,-4.894948,0,0
.110055,0,1,3.632827,-4.889945,0,-4.889945
.1150575,0,0,1.873749,-4.884943,0,0
.12006,0,0,1.833349,-4.87994,0,0
.1250625,0,0,.7529391,-4.874938,0,0
.130065,0,0,2.000096,-4.869935,0,0
.1350675,0,0,1.082454,-4.864933,0,0
.14007,0,0,1.522181,-4.85993,0,0
.1450725,0,1,3.770744,-4.854928,0,-4.854928
.150075,0,0,1.16585,-4.849925,0,0
.1550775,0,1,3.272938,-4.844923,0,-4.844923
.16008,0,1,2.949317,-4.83992,0,-4.83992
.1650825,0,0,1.026256,-4.834918,0,0
.170085,0,0,1.242073,-4.829915,0,0
.1750875,0,0,1.355241,-4.824913,0,0
.18009,0,0,.5155817,-4.81991,0,0
.1850926,0,0,.6982511,-4.814908,0,0
.1900951,0,0,.9612151,-4.809905,0,0
.1950976,0,1,3.56325,-4.804903,0,-4.804903
.2001,0,0,-.4540562,-4.7999,0,0
.2051025,0,0,1.761696,-4.794898,0,0
.210105,0,0,1.269106,-4.789895,0,0
.2151076,0,0,1.04254,-4.784893,0,0
.2201101,0,1,3.959177,-4.77989,0,-4.77989
.2251126,0,0,1.137992,-4.774888,0,0
.2301151,0,0,1.064402,-4.769885,0,0
.2351176,0,0,1.532078,-4.764883,0,0
.2401201,0,0,.8563065,-4.75988,0,0
.2451226,0,0,1.02505,-4.754878,0,0
.2501251,0,0,1.782168,-4.749875,0,0
.2551275,0,0,.747584,-4.744873,0,0
.2601301,0,0,.522498,-4.73987,0,0
.2651326,0,0,.2372907,-4.734868,0,0
.2701351,0,0,1.143452,-4.729865,0,0
.2751376,0,0,1.718297,-4.724863,0,0
.2801401,0,0,1.283977,-4.71986,0,0
.2851426,0,0,1.247843,-4.714858,0,0
.2901451,0,0,.8520851,-4.709855,0,0
.2951476,0,0,-.3970135,-4.704853,0,0
.3001501,0,0,1.093801,-4.69985,0,0
.3051526,0,0,1.646709,-4.694848,0,0
.3101551,0,0,1.631974,-4.689845,0,0
.3151576,0,0,.7184586,-4.684843,0,0
.3201601,0,0,.2608366,-4.67984,0,0
.3251626,0,0,1.185841,-4.674838,0,0
.3301651,0,0,1.729115,-4.669835,0,0
.3351676,0,0,.8557307,-4.664833,0,0
.3401701,0,0,.3095519,-4.65983,0,0
.3451726,0,0,1.006163,-4.654828,0,0
.3501751,0,0,1.37139,-4.649825,0,0
.3551776,0,0,1.380459,-4.644823,0,0
.3601801,0,0,1.825482,-4.63982,0,0
.3651826,0,0,.3779679,-4.634818,0,0
.3701851,0,0,.6580321,-4.629815,0,0
.3751876,0,0,-.2435393,-4.624813,0,0
.3801901,0,0,1.950771,-4.61981,0,0
.3851926,0,0,2.247978,-4.614808,0,0
.3901951,0,0,.3655793,-4.609805,0,0
.3951976,0,0,1.267322,-4.604803,0,0
.4002001,0,0,.2881547,-4.5998,0,0
.4052026,0,0,1.654067,-4.594798,0,0
.4102051,0,0,1.488236,-4.589795,0,0
.4152076,0,0,.5736606,-4.584793,0,0
.4202101,0,0,.8446297,-4.57979,0,0
.4252126,0,1,3.441842,-4.574788,0,-4.574788
.4302151,0,0,1.518945,-4.569785,0,0
.4352176,0,0,.806824,-4.564782,0,0
.4402201,0,0,.4160902,-4.55978,0,0
.4452226,0,0,1.896064,-4.554777,0,0
.4502251,0,0,.9692217,-4.549775,0,0
.4552276,0,0,1.679902,-4.544772,0,0
.4602301,0,1,3.917733,-4.53977,0,-4.53977
.4652326,0,0,.5619462,-4.534767,0,0
.4702351,0,0,.9494408,-4.529765,0,0
.4752376,0,0,1.590348,-4.524762,0,0
.4802401,0,0,1.115153,-4.51976,0,0
.4852426,0,0,1.423566,-4.514757,0,0
.4902451,0,0,.1216366,-4.509755,0,0
.4952476,0,0,1.522898,-4.504752,0,0
.5002501,0,0,1.14311,-4.49975,0,0
.5052526,0,0,1.165423,-4.494747,0,0
.5102551,0,0,1.753824,-4.489745,0,0
.5152577,0,0,1.404735,-4.484742,0,0
.5202602,0,0,.3071528,-4.47974,0,0
.5252627,0,0,1.376933,-4.474737,0,0
.5302652,0,0,.9092342,-4.469735,0,0
.5352677,0,0,.9420553,-4.464732,0,0
.5402701,0,0,.9608023,-4.45973,0,0
.5452726,0,0,.7229702,-4.454727,0,0
.5502751,0,0,1.059809,-4.449725,0,0
.5552776,0,0,1.117215,-4.444722,0,0
.5602801,0,0,2.057327,-4.43972,0,0
.5652826,0,1,2.095687,-4.434717,0,-4.434717
.5702851,0,1,2.139727,-4.429715,0,-4.429715
.5752876,0,0,.2667857,-4.424712,0,0
.5802901,0,0,.7194856,-4.41971,0,0
.5852926,0,0,.7527829,-4.414707,0,0
.5902951,0,0,.7018893,-4.409705,0,0
.5952976,0,1,3.294068,-4.404702,0,-4.404702
.6003001,0,0,1.779958,-4.3997,0,0
.6053026,0,0,1.710292,-4.394697,0,0
.6103051,0,0,1.503441,-4.389695,0,0
.6153076,0,0,1.038217,-4.384692,0,0
.6203101,0,0,.135077,-4.37969,0,0
.6253127,0,0,2.007585,-4.374687,0,0
.6303152,0,0,1.511199,-4.369685,0,0
.6353177,0,0,1.383423,-4.364682,0,0
.6403202,0,0,.832723,-4.35968,0,0
.6453227,0,0,.7215423,-4.354677,0,0
.6503252,0,0,1.026394,-4.349675,0,0
.6553277,0,0,1.295016,-4.344672,0,0
.6603302,0,0,.6715652,-4.33967,0,0
.6653327,0,0,1.978888,-4.334667,0,0
.6703352,0,0,.3452253,-4.329665,0,0
.6753377,0,0,1.404373,-4.324662,0,0
.6803402,0,0,1.107816,-4.31966,0,0
.6853427,0,0,1.184294,-4.314657,0,0
.6903452,0,0,1.621205,-4.309655,0,0
.6953477,0,0,.8830613,-4.304652,0,0
.7003502,0,1,2.323254,-4.29965,0,-4.29965
.7053527,0,0,1.158242,-4.294647,0,0
.7103552,0,0,1.13168,-4.289645,0,0
.7153577,0,1,3.416329,-4.284642,0,-4.284642
.7203602,0,0,1.828924,-4.27964,0,0
.7253627,0,0,.3161083,-4.274637,0,0
.7303652,0,0,1.868869,-4.269635,0,0
.7353677,0,0,.177281,-4.264632,0,0
.7403702,0,1,2.964197,-4.25963,0,-4.25963
.7453727,0,1,3.557174,-4.254627,0,-4.254627
.7503752,0,0,.6981827,-4.249625,0,0
.7553777,0,0,1.22219,-4.244622,0,0
.7603802,0,0,.4089942,-4.23962,0,0
.7653827,0,1,2.412643,-4.234617,0,-4.234617
.7703852,0,0,1.318556,-4.229615,0,0
.7753877,0,1,3.604896,-4.224612,0,-4.224612
.7803902,0,0,1.11599,-4.21961,0,0
.7853927,0,0,.3690811,-4.214607,0,0
.7903952,0,0,1.49478,-4.209605,0,0
.7953977,0,0,1.425158,-4.204602,0,0
.8004002,0,0,.9972739,-4.1996,0,0
.8054027,0,0,.5009751,-4.194597,0,0
.8104052,0,1,2.243239,-4.189595,0,-4.189595
.8154077,0,0,.4297032,-4.184592,0,0
.8204102,0,0,.344529,-4.17959,0,0
.8254127,0,0,.3401106,-4.174587,0,0
.8304152,0,0,.9108281,-4.169585,0,0
.8354177,0,0,1.284647,-4.164582,0,0
.8404202,0,0,1.849179,-4.15958,0,0
.8454227,0,0,1.467277,-4.154577,0,0
.8504252,0,1,1.723341,-4.149575,0,-4.149575
.8554277,0,0,1.953406,-4.144572,0,0
.8604302,0,0,.9841879,-4.13957,0,0
.8654327,0,0,1.883614,-4.134567,0,0
.8704352,0,0,1.73887,-4.129565,0,0
.8754377,0,0,1.14246,-4.124562,0,0
.8804402,0,0,.1903355,-4.11956,0,0
.8854427,0,0,.5687946,-4.114557,0,0
.8904452,0,0,.8416978,-4.109555,0,0
.8954477,0,0,2.052049,-4.104552,0,0
.9004502,0,0,.917321,-4.09955,0,0
.9054527,0,0,1.076738,-4.094547,0,0
.9104552,0,0,.6932356,-4.089545,0,0
.9154577,0,0,1.963246,-4.084542,0,0
.9204602,0,1,3.561037,-4.07954,0,-4.07954
.9254627,0,0,1.991839,-4.074537,0,0
.9304652,0,0,1.774319,-4.069535,0,0
.9354677,0,0,1.536919,-4.064532,0,0
.9404702,0,0,2.040624,-4.05953,0,0
.9454727,0,1,3.684789,-4.054527,0,-4.054527
.9504752,0,0,.8398428,-4.049525,0,0
.9554777,0,0,1.289114,-4.044522,0,0
.9604802,0,0,1.345249,-4.03952,0,0
.9654827,0,0,1.145761,-4.034517,0,0
.9704853,0,0,2.882015,-4.029515,0,0
.9754878,0,0,1.543079,-4.024512,0,0
.9804903,0,0,-.0391036,-4.01951,0,0
.9854928,0,0,-.1815164,-4.014507,0,0
.9904953,0,0,2.716093,-4.009505,0,0
.9954978,0,0,.9515395,-4.004502,0,0
1.0005,0,0,1.162528,-3.9995,0,0
1.005503,0,0,1.967843,-3.994497,0,0
1.010505,0,0,1.435964,-3.989495,0,0
1.015508,0,0,-.0984387,-3.984492,0,0
1.02051,0,0,.7170897,-3.97949,0,0
1.025513,0,0,1.89689,-3.974487,0,0
1.030515,0,0,1.082997,-3.969485,0,0
1.035518,0,1,3.78438,-3.964482,0,-3.964482
1.04052,0,0,1.697333,-3.95948,0,0
1.045523,0,0,.7095608,-3.954477,0,0
1.050525,0,1,3.040075,-3.949475,0,-3.949475
1.055528,0,1,2.000762,-3.944472,0,-3.944472
1.06053,0,0,1.421313,-3.93947,0,0
1.065533,0,0,1.150919,-3.934467,0,0
1.070535,0,1,3.839176,-3.929465,0,-3.929465
1.075538,0,0,.9547539,-3.924462,0,0
1.08054,0,0,.3438883,-3.91946,0,0
1.085543,0,0,1.846038,-3.914457,0,0
1.090545,0,0,1.070977,-3.909455,0,0
1.095548,0,0,-.532372,-3.904452,0,0
1.10055,0,0,.5664004,-3.89945,0,0
1.105553,0,0,1.178084,-3.894447,0,0
1.110555,0,0,1.361583,-3.889445,0,0
1.115558,0,0,1.014921,-3.884442,0,0
1.12056,0,0,.5322689,-3.87944,0,0
1.125563,0,0,2.275538,-3.874437,0,0
1.130565,0,0,.6431587,-3.869435,0,0
1.135568,0,1,3.851942,-3.864432,0,-3.864432
1.14057,0,0,1.270043,-3.85943,0,0
1.145573,0,1,2.27471,-3.854427,0,-3.854427
1.150575,0,1,2.668525,-3.849425,0,-3.849425
1.155578,0,0,.3338874,-3.844422,0,0
1.16058,0,0,1.745222,-3.83942,0,0
1.165583,0,0,.6071016,-3.834417,0,0
1.170585,0,0,1.514332,-3.829415,0,0
1.175588,0,0,1.277231,-3.824412,0,0
1.18059,0,0,1.393454,-3.81941,0,0
1.185593,0,0,1.250693,-3.814407,0,0
1.190595,0,0,.541003,-3.809405,0,0
1.195598,0,0,1.794685,-3.804402,0,0
1.2006,0,0,.9580804,-3.7994,0,0
1.205603,0,0,2.233314,-3.794397,0,0
1.210605,0,1,3.690557,-3.789395,0,-3.789395
1.215608,0,0,.8004112,-3.784392,0,0
1.22061,0,0,1.535565,-3.77939,0,0
1.225613,0,1,3.696255,-3.774387,0,-3.774387
1.230615,0,0,1.414559,-3.769385,0,0
1.235618,0,0,.6487406,-3.764382,0,0
1.24062,0,0,.7316715,-3.75938,0,0
1.245623,0,0,2.421013,-3.754377,0,0
1.250625,0,0,2.697076,-3.749375,0,0
1.255628,0,0,1.173506,-3.744372,0,0
1.26063,0,0,1.356516,-3.73937,0,0
1.265633,0,1,3.057008,-3.734367,0,-3.734367
1.270635,0,0,1.725277,-3.729365,0,0
1.275638,0,0,1.139356,-3.724362,0,0
1.28064,0,0,2.195724,-3.71936,0,0
1.285643,0,0,1.08177,-3.714357,0,0
1.290645,0,0,1.854058,-3.709355,0,0
1.295648,0,0,.8927196,-3.704352,0,0
1.30065,0,1,2.883062,-3.69935,0,-3.69935
1.305653,0,0,.491938,-3.694347,0,0
1.310655,0,0,1.724472,-3.689345,0,0
1.315658,0,0,1.718768,-3.684342,0,0
1.32066,0,0,1.976769,-3.67934,0,0
1.325663,0,0,1.395521,-3.674337,0,0
1.330665,0,0,1.962481,-3.669335,0,0
1.335668,0,0,1.044879,-3.664332,0,0
1.34067,0,1,2.833154,-3.65933,0,-3.65933
1.345673,0,0,1.697984,-3.654327,0,0
1.350675,0,0,1.363178,-3.649325,0,0
1.355678,0,0,1.195866,-3.644322,0,0
1.36068,0,0,.2364526,-3.63932,0,0
1.365683,0,0,.5884296,-3.634317,0,0
1.370685,0,1,2.973257,-3.629315,0,-3.629315
1.375688,0,0,1.829601,-3.624312,0,0
1.38069,0,0,.9026113,-3.61931,0,0
1.385693,0,0,.9678756,-3.614307,0,0
1.390695,0,0,1.839501,-3.609305,0,0
1.395698,0,0,.5328935,-3.604302,0,0
1.4007,0,1,2.572955,-3.5993,0,-3.5993
1.405703,0,0,1.732969,-3.594297,0,0
1.410705,0,0,1.410816,-3.589295,0,0
1.415708,0,0,.8823357,-3.584292,0,0
1.42071,0,0,1.026421,-3.57929,0,0
1.425713,0,0,1.16831,-3.574287,0,0
1.430715,0,0,1.635664,-3.569285,0,0
1.435718,0,0,.9271379,-3.564282,0,0
1.44072,0,0,1.057542,-3.55928,0,0
1.445723,0,0,.8119719,-3.554277,0,0
1.450725,0,0,-.1988536,-3.549275,0,0
1.455728,0,0,.4821587,-3.544272,0,0
1.46073,0,0,2.245101,-3.53927,0,0
1.465733,0,0,1.797651,-3.534267,0,0
1.470735,0,0,1.56211,-3.529265,0,0
1.475738,0,0,.8039802,-3.524262,0,0
1.48074,0,0,1.435336,-3.519259,0,0
1.485743,0,1,4.405491,-3.514257,0,-3.514257
1.490745,0,0,1.194298,-3.509254,0,0
1.495748,0,0,2.418195,-3.504252,0,0
1.50075,0,0,.8890163,-3.499249,0,0
1.505753,0,0,1.307148,-3.494247,0,0
1.510755,0,0,1.502337,-3.489244,0,0
1.515758,0,0,1.393394,-3.484242,0,0
1.52076,0,0,.4743292,-3.479239,0,0
1.525763,0,1,3.32889,-3.474237,0,-3.474237
1.530765,0,1,4.195345,-3.469234,0,-3.469234
1.535768,0,0,.4726761,-3.464232,0,0
1.54077,0,0,1.868939,-3.459229,0,0
1.545773,0,0,1.709778,-3.454227,0,0
1.550775,0,0,1.095515,-3.449224,0,0
1.555778,0,0,1.618791,-3.444222,0,0
1.56078,0,0,1.569428,-3.439219,0,0
1.565783,0,0,.9069445,-3.434217,0,0
1.570785,0,0,1.600543,-3.429214,0,0
1.575788,0,0,1.605793,-3.424212,0,0
1.58079,0,0,2.241445,-3.419209,0,0
1.585793,0,0,2.274335,-3.414207,0,0
1.590795,0,0,.6484067,-3.409204,0,0
1.595798,0,1,2.418705,-3.404202,0,-3.404202
1.6008,0,1,4.241391,-3.399199,0,-3.399199
1.605803,0,0,1.276476,-3.394197,0,0
1.610805,0,1,3.630883,-3.389194,0,-3.389194
1.615808,0,0,.5291258,-3.384192,0,0
1.62081,0,1,3.844528,-3.379189,0,-3.379189
1.625813,0,0,2.892996,-3.374187,0,0
1.630815,0,0,1.787377,-3.369184,0,0
1.635818,0,1,4.03768,-3.364182,0,-3.364182
1.64082,0,0,2.407769,-3.359179,0,0
1.645823,0,0,.2600427,-3.354177,0,0
1.650825,0,0,2.649579,-3.349174,0,0
1.655828,0,1,3.118389,-3.344172,0,-3.344172
1.66083,0,0,.5501597,-3.33917,0,0
1.665833,0,0,1.638307,-3.334167,0,0
1.670835,0,0,1.518866,-3.329165,0,0
1.675838,0,0,.7543707,-3.324162,0,0
1.68084,0,1,4.890503,-3.31916,0,-3.31916
1.685843,0,0,1.092732,-3.314157,0,0
1.690845,0,0,1.71032,-3.309155,0,0
1.695848,0,0,1.244076,-3.304152,0,0
1.70085,0,0,1.254901,-3.29915,0,0
1.705853,0,0,1.314005,-3.294147,0,0
1.710855,0,0,1.133396,-3.289145,0,0
1.715858,0,0,.2361937,-3.284142,0,0
1.72086,0,0,2.490211,-3.27914,0,0
1.725863,0,0,1.398885,-3.274137,0,0
1.730865,0,0,1.604902,-3.269135,0,0
1.735868,0,0,.1427236,-3.264132,0,0
1.74087,0,0,1.712755,-3.25913,0,0
1.745873,0,0,1.96643,-3.254127,0,0
1.750875,0,0,.5453436,-3.249125,0,0
1.755878,0,0,1.457207,-3.244122,0,0
1.76088,0,0,1.70197,-3.23912,0,0
1.765883,0,0,1.084193,-3.234117,0,0
1.770885,0,0,1.572583,-3.229115,0,0
1.775888,0,0,1.364327,-3.224112,0,0
1.78089,0,0,1.325966,-3.21911,0,0
1.785893,0,0,1.000189,-3.214107,0,0
1.790895,0,0,1.557023,-3.209105,0,0
1.795898,0,0,1.102728,-3.204102,0,0
1.8009,0,0,.7081183,-3.1991,0,0
1.805903,0,0,-.2952848,-3.194097,0,0
1.810905,0,0,1.74549,-3.189095,0,0
1.815908,0,0,1.255039,-3.184092,0,0
1.82091,0,0,1.475674,-3.17909,0,0
1.825913,0,0,.2451462,-3.174087,0,0
1.830915,0,0,1.670308,-3.169085,0,0
1.835918,0,0,1.404226,-3.164082,0,0
1.84092,0,0,1.410188,-3.15908,0,0
1.845923,0,0,1.375465,-3.154077,0,0
1.850925,0,0,1.744951,-3.149075,0,0
1.855928,0,0,2.272481,-3.144072,0,0
1.86093,0,0,1.51025,-3.13907,0,0
1.865933,0,0,2.037442,-3.134067,0,0
1.870935,0,0,2.214246,-3.129065,0,0
1.875938,0,0,.8808911,-3.124062,0,0
1.88094,0,0,1.908071,-3.11906,0,0
1.885943,0,0,.9830049,-3.114057,0,0
1.890945,0,0,.9151632,-3.109055,0,0
1.895948,0,0,2.798091,-3.104052,0,0
1.90095,0,1,3.787299,-3.09905,0,-3.09905
1.905953,0,0,2.005421,-3.094047,0,0
1.910955,0,0,1.849931,-3.089045,0,0
1.915958,0,0,.9625012,-3.084042,0,0
1.92096,0,0,2.825583,-3.07904,0,0
1.925963,0,0,1.207715,-3.074037,0,0
1.930965,0,1,4.135215,-3.069035,0,-3.069035
1.935968,0,0,2.45938,-3.064032,0,0
1.940971,0,0,.8866392,-3.05903,0,0
1.945973,0,1,3.8308,-3.054027,0,-3.054027
1.950976,0,0,1.54304,-3.049025,0,0
1.955978,0,0,.2647009,-3.044022,0,0
1.960981,0,0,.4572382,-3.03902,0,0
1.965983,0,0,2.275458,-3.034017,0,0
1.970986,0,0,.9298431,-3.029015,0,0
1.975988,0,0,.8742862,-3.024012,0,0
1.980991,0,0,1.750478,-3.01901,0,0
1.985993,0,0,1.595263,-3.014007,0,0
1.990996,0,0,1.749359,-3.009005,0,0
1.995998,0,0,1.063477,-3.004002,0,0
2.001,0,1,4.730153,-2.999,0,-2.999
2.006003,0,0,.5845137,-2.993997,0,0
2.011005,0,0,1.494597,-2.988995,0,0
2.016008,0,0,1.226563,-2.983992,0,0
2.02101,0,0,1.493992,-2.97899,0,0
2.026013,0,1,2.680761,-2.973987,0,-2.973987
2.031015,0,1,4.102628,-2.968985,0,-2.968985
2.036018,0,0,2.01809,-2.963982,0,0
2.04102,0,0,1.484736,-2.95898,0,0
2.046023,0,0,1.76917,-2.953977,0,0
2.051026,0,1,3.905056,-2.948974,0,-2.948974
2.056028,0,0,1.964217,-2.943972,0,0
2.061031,0,1,4.092211,-2.938969,0,-2.938969
2.066033,0,0,1.560306,-2.933967,0,0
2.071036,0,0,.8885721,-2.928964,0,0
2.076038,0,0,2.055138,-2.923962,0,0
2.081041,0,0,2.292429,-2.918959,0,0
2.086043,0,1,3.498494,-2.913957,0,-2.913957
2.091046,0,1,2.737024,-2.908954,0,-2.908954
2.096048,0,0,1.046254,-2.903952,0,0
2.101051,0,0,1.69176,-2.898949,0,0
2.106053,0,0,1.705195,-2.893947,0,0
2.111056,0,0,.6997402,-2.888944,0,0
2.116058,0,0,2.193177,-2.883942,0,0
2.121061,0,0,1.542821,-2.878939,0,0
2.126063,0,0,1.827089,-2.873937,0,0
2.131066,0,1,3.351709,-2.868934,0,-2.868934
2.136068,0,1,2.904385,-2.863932,0,-2.863932
2.141071,0,0,1.203294,-2.858929,0,0
2.146073,0,0,1.250431,-2.853927,0,0
2.151076,0,1,4.002491,-2.848924,0,-2.848924
2.156078,0,1,4.260798,-2.843922,0,-2.843922
2.161081,0,0,2.522854,-2.838919,0,0
2.166083,0,0,1.664975,-2.833917,0,0
2.171086,0,1,4.187528,-2.828914,0,-2.828914
2.176088,0,0,1.43545,-2.823912,0,0
2.181091,0,0,1.486536,-2.818909,0,0
2.186093,0,0,.5278839,-2.813907,0,0
2.191096,0,0,2.298054,-2.808904,0,0
2.196098,0,0,1.799641,-2.803902,0,0
2.201101,0,0,.5223312,-2.798899,0,0
2.206103,0,0,1.97956,-2.793897,0,0
2.211106,0,1,3.744321,-2.788894,0,-2.788894
2.216108,0,0,2.252411,-2.783892,0,0
2.221111,0,1,3.242028,-2.778889,0,-2.778889
2.226113,0,0,.3625202,-2.773887,0,0
2.231116,0,1,4.038908,-2.768884,0,-2.768884
2.236118,0,1,4.21918,-2.763882,0,-2.763882
2.241121,0,0,2.387673,-2.758879,0,0
2.246123,0,0,2.419457,-2.753877,0,0
2.251126,0,0,.9889384,-2.748874,0,0
